RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Right	Category Left	Index Right	Index Left	Pupil Diameter Right [mm]	Pupil Diameter Left [mm]	Point of Regard Binocular X [px]	Point of Regard Binocular Y [px]	Point of Regard Right X [px]	Point of Regard Right Y [px]	Point of Regard Left X [px]	Point of Regard Left Y [px]	AOI Name Right	AOI Name Left	Gaze Vector Right X	Gaze Vector Right Y	Gaze Vector Right Z	Gaze Vector Left X	Gaze Vector Left Y	Gaze Vector Left Z	Video Time [h:m:s:ms]	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
499575.91	21:24:16:449	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Blink	-	1	4.00	4.00	562.34	-69.34	751.29	-250.53	319.71	134.28	-	-	-0.07	0.38	0.92	0.22	0.12	0.97	00:00:00:000	-	-	-	-	-	-	-	-
499592.00	21:24:16:465	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Blink	-	1	2.82	2.46	647.67	753.85	660.46	733.24	585.33	731.79	-	-	-0.01	-0.37	0.93	0.01	-0.37	0.93	00:00:00:000	-	-	-	-	-	-	-	-
499609.21	21:24:16:482	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Blink	-	1	3.58	3.04	648.62	432.95	695.05	405.03	552.75	479.53	-	-	-0.04	-0.10	0.99	0.04	-0.17	0.99	00:00:00:041	-	-	-	-	-	-	-	-
499625.74	21:24:16:499	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Blink	-	1	3.76	3.14	647.86	390.59	694.13	375.50	551.62	429.30	-	-	-0.04	-0.08	1.00	0.04	-0.12	0.99	00:00:00:041	-	-	-	-	-	-	-	-
499642.00	21:24:16:515	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Blink	-	1	3.80	3.18	646.95	376.14	692.14	367.56	551.54	408.95	-	-	-0.04	-0.07	1.00	0.04	-0.11	0.99	00:00:00:041	-	-	-	-	-	-	-	-
499658.74	21:24:16:532	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	1	3.80	3.18	648.12	369.62	692.19	363.39	553.64	399.91	-	-	-0.04	-0.07	1.00	0.04	-0.10	0.99	00:00:00:041	-	-	-	-	-	-	-	-
499674.93	21:24:16:548	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	1	3.80	3.20	649.25	363.43	691.32	353.77	556.73	396.78	-	-	-0.04	-0.06	1.00	0.03	-0.10	0.99	00:00:00:082	-	-	-	-	-	-	-	-
499691.78	21:24:16:565	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	1	3.82	3.18	649.92	358.79	692.75	348.12	556.62	393.82	-	-	-0.04	-0.06	1.00	0.03	-0.09	0.99	00:00:00:082	-	-	-	-	-	-	-	-
499708.40	21:24:16:581	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	1	3.80	3.18	653.62	356.86	696.91	344.36	559.69	394.03	-	-	-0.04	-0.05	1.00	0.03	-0.09	1.00	00:00:00:124	-	-	-	-	-	-	-	-
499724.69	21:24:16:598	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	1	3.80	3.20	654.72	355.75	696.42	342.80	562.27	392.83	-	-	-0.04	-0.05	1.00	0.03	-0.09	1.00	00:00:00:124	-	-	-	-	-	-	-	-
499741.41	21:24:16:615	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	1	3.80	3.22	654.13	352.71	696.16	341.69	561.32	388.28	-	-	-0.04	-0.05	1.00	0.03	-0.09	1.00	00:00:00:166	-	-	-	-	-	-	-	-
499758.18	21:24:16:631	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	1	3.80	3.20	653.92	353.10	694.87	340.75	562.22	389.51	-	-	-0.04	-0.05	1.00	0.03	-0.09	1.00	00:00:00:166	-	-	-	-	-	-	-	-
499774.66	21:24:16:648	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	1	3.80	3.18	654.82	351.22	696.03	340.06	562.77	386.75	-	-	-0.04	-0.05	1.00	0.03	-0.09	1.00	00:00:00:166	-	-	-	-	-	-	-	-
499791.53	21:24:16:665	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	1	3.82	3.18	654.36	351.71	697.10	340.21	560.88	388.17	-	-	-0.04	-0.05	1.00	0.03	-0.09	1.00	00:00:00:207	-	-	-	-	-	-	-	-
499807.85	21:24:16:681	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	1	3.84	3.18	652.14	351.79	693.38	340.17	560.26	387.78	-	-	-0.04	-0.05	1.00	0.03	-0.09	1.00	00:00:00:207	-	-	-	-	-	-	-	-
499824.34	21:24:16:697	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	1	3.82	3.22	654.46	351.90	694.57	340.79	563.50	386.97	-	-	-0.04	-0.05	1.00	0.03	-0.09	1.00	00:00:00:207	-	-	-	-	-	-	-	-
499841.17	21:24:16:714	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	1	3.82	3.22	654.27	351.67	694.11	341.02	563.57	386.21	-	-	-0.04	-0.05	1.00	0.03	-0.09	1.00	00:00:00:249	-	-	-	-	-	-	-	-
499857.50	21:24:16:731	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	1	3.82	3.24	654.61	350.27	695.08	339.60	563.28	385.18	-	-	-0.04	-0.05	1.00	0.03	-0.09	1.00	00:00:00:249	-	-	-	-	-	-	-	-
499874.24	21:24:16:747	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	1	3.84	3.22	656.52	351.04	696.73	339.67	565.32	386.51	-	-	-0.04	-0.05	1.00	0.03	-0.09	1.00	00:00:00:291	-	-	-	-	-	-	-	-
499891.20	21:24:16:764	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Saccade	-	2	3.84	3.24	656.26	350.53	696.20	340.07	565.33	385.05	-	-	-0.04	-0.05	1.00	0.03	-0.09	1.00	00:00:00:291	-	-	-	-	-	-	-	-
499907.53	21:24:16:781	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Saccade	-	2	3.84	3.24	642.88	352.53	683.05	340.59	552.69	388.34	-	-	-0.03	-0.05	1.00	0.04	-0.09	1.00	00:00:00:291	-	-	-	-	-	-	-	-
499923.96	21:24:16:797	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Saccade	-	2	3.88	3.24	616.24	353.03	653.30	337.11	531.36	391.07	-	-	-0.01	-0.05	1.00	0.06	-0.09	0.99	00:00:00:332	-	-	-	-	-	-	-	-
499940.60	21:24:16:814	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	3.86	3.22	617.90	352.03	657.21	337.02	530.45	390.25	-	-	-0.01	-0.05	1.00	0.06	-0.09	0.99	00:00:00:332	-	-	-	-	-	-	-	-
499957.35	21:24:16:830	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	3.90	3.26	618.77	352.82	656.43	336.87	533.03	391.19	-	-	-0.01	-0.05	1.00	0.05	-0.09	0.99	00:00:00:374	-	-	-	-	-	-	-	-
499973.71	21:24:16:847	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	3.88	3.28	618.95	351.82	657.46	335.60	532.31	390.85	-	-	-0.01	-0.05	1.00	0.05	-0.09	0.99	00:00:00:374	-	-	-	-	-	-	-	-
499990.49	21:24:16:864	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	3.88	3.28	619.92	352.22	657.59	335.40	534.12	391.45	-	-	-0.01	-0.05	1.00	0.05	-0.09	0.99	00:00:00:374	-	-	-	-	-	-	-	-
500006.92	21:24:16:880	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	3.90	3.24	618.92	352.02	656.70	335.95	533.06	390.60	-	-	-0.01	-0.05	1.00	0.05	-0.09	0.99	00:00:00:416	-	-	-	-	-	-	-	-
500023.78	21:24:16:897	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	3.86	3.24	619.97	353.21	658.67	336.69	533.10	392.51	-	-	-0.01	-0.05	1.00	0.05	-0.09	0.99	00:00:00:416	-	-	-	-	-	-	-	-
500040.56	21:24:16:914	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	3.86	3.26	620.29	355.05	658.86	339.71	533.50	393.11	-	-	-0.01	-0.05	1.00	0.05	-0.09	0.99	00:00:00:457	-	-	-	-	-	-	-	-
500056.67	21:24:16:930	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	3.90	3.26	619.73	353.32	657.66	338.93	533.61	390.35	-	-	-0.01	-0.05	1.00	0.05	-0.09	0.99	00:00:00:457	-	-	-	-	-	-	-	-
500073.36	21:24:16:946	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	3.92	3.26	619.28	354.91	657.50	338.97	532.94	393.41	-	-	-0.01	-0.05	1.00	0.05	-0.09	0.99	00:00:00:457	-	-	-	-	-	-	-	-
500089.92	21:24:16:963	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	3.98	3.28	617.86	355.46	654.88	339.67	532.90	393.27	-	-	-0.01	-0.05	1.00	0.05	-0.09	0.99	00:00:00:499	-	-	-	-	-	-	-	-
500107.16	21:24:16:980	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	3.90	3.28	619.39	354.48	656.08	338.01	534.66	392.87	-	-	-0.01	-0.05	1.00	0.05	-0.09	0.99	00:00:00:499	-	-	-	-	-	-	-	-
500123.38	21:24:16:996	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	3.92	3.32	619.31	354.19	655.52	338.69	535.06	391.52	-	-	-0.01	-0.05	1.00	0.05	-0.09	0.99	00:00:00:541	-	-	-	-	-	-	-	-
500139.80	21:24:17:013	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	3.92	3.32	619.73	353.95	655.65	338.55	535.74	391.09	-	-	-0.01	-0.05	1.00	0.05	-0.09	0.99	00:00:00:541	-	-	-	-	-	-	-	-
500156.81	21:24:17:030	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	3.90	3.32	621.40	355.23	658.63	340.91	535.89	391.83	-	-	-0.01	-0.05	1.00	0.05	-0.09	0.99	00:00:00:541	-	-	-	-	-	-	-	-
500173.04	21:24:17:046	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	3.94	3.32	620.53	354.06	657.31	338.90	535.56	391.36	-	-	-0.01	-0.05	1.00	0.05	-0.09	0.99	00:00:00:582	-	-	-	-	-	-	-	-
500189.77	21:24:17:063	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	3.94	3.32	620.29	353.90	657.08	338.71	535.34	391.24	-	-	-0.01	-0.05	1.00	0.05	-0.09	0.99	00:00:00:582	-	-	-	-	-	-	-	-
500206.68	21:24:17:080	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	3.96	3.38	618.43	355.54	653.46	341.57	535.45	390.86	-	-	-0.01	-0.05	1.00	0.05	-0.09	0.99	00:00:00:624	-	-	-	-	-	-	-	-
500222.67	21:24:17:096	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	3.96	3.34	618.70	355.91	652.98	341.29	536.50	391.50	-	-	0.00	-0.05	1.00	0.05	-0.09	0.99	00:00:00:624	-	-	-	-	-	-	-	-
500239.97	21:24:17:113	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	3.92	3.38	618.93	354.82	654.44	341.35	535.38	389.92	-	-	-0.01	-0.05	1.00	0.05	-0.09	0.99	00:00:00:624	-	-	-	-	-	-	-	-
500255.84	21:24:17:129	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	3.98	3.36	618.67	354.51	654.22	339.74	535.12	390.91	-	-	-0.01	-0.05	1.00	0.05	-0.09	0.99	00:00:00:666	-	-	-	-	-	-	-	-
500272.78	21:24:17:146	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	3.92	3.40	618.30	354.49	653.30	340.20	535.35	390.18	-	-	-0.01	-0.05	1.00	0.05	-0.09	0.99	00:00:00:666	-	-	-	-	-	-	-	-
500289.16	21:24:17:162	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	3.94	3.36	618.85	355.48	654.29	341.05	535.41	391.45	-	-	-0.01	-0.05	1.00	0.05	-0.09	0.99	00:00:00:707	-	-	-	-	-	-	-	-
500305.53	21:24:17:179	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	4.00	3.38	618.69	356.68	654.26	342.19	535.12	392.67	-	-	-0.01	-0.05	1.00	0.05	-0.09	0.99	00:00:00:707	-	-	-	-	-	-	-	-
500322.29	21:24:17:195	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	4.00	3.42	620.22	358.50	655.13	344.82	537.22	393.32	-	-	-0.01	-0.05	1.00	0.05	-0.09	0.99	00:00:00:749	-	-	-	-	-	-	-	-
500338.86	21:24:17:212	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	3.98	3.42	619.21	359.77	653.89	346.81	536.53	393.66	-	-	-0.01	-0.06	1.00	0.05	-0.09	0.99	00:00:00:749	-	-	-	-	-	-	-	-
500355.47	21:24:17:229	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	3.98	3.40	618.73	359.57	654.14	347.32	535.29	393.12	-	-	-0.01	-0.06	1.00	0.05	-0.09	0.99	00:00:00:749	-	-	-	-	-	-	-	-
500372.11	21:24:17:245	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	4.00	3.40	618.64	360.33	654.20	348.27	535.04	393.70	-	-	-0.01	-0.06	1.00	0.05	-0.09	0.99	00:00:00:791	-	-	-	-	-	-	-	-
500388.70	21:24:17:262	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	4.00	3.40	618.97	359.40	654.61	346.37	535.28	393.83	-	-	-0.01	-0.06	1.00	0.05	-0.09	0.99	00:00:00:791	-	-	-	-	-	-	-	-
500405.54	21:24:17:279	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	4.00	3.40	617.84	358.46	653.11	344.32	534.67	393.87	-	-	-0.01	-0.05	1.00	0.05	-0.09	0.99	00:00:00:791	-	-	-	-	-	-	-	-
500421.97	21:24:17:295	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	4.02	3.42	619.49	358.67	653.67	344.26	537.35	393.88	-	-	-0.01	-0.05	1.00	0.05	-0.09	0.99	00:00:00:832	-	-	-	-	-	-	-	-
500438.37	21:24:17:311	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	4.02	3.40	617.98	358.78	654.09	345.15	533.88	394.04	-	-	-0.01	-0.05	1.00	0.05	-0.09	0.99	00:00:00:832	-	-	-	-	-	-	-	-
500455.23	21:24:17:328	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	4.02	3.40	618.67	358.84	654.43	346.06	534.87	393.16	-	-	-0.01	-0.06	1.00	0.05	-0.09	0.99	00:00:00:832	-	-	-	-	-	-	-	-
500471.61	21:24:17:345	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	4.02	3.40	618.46	359.38	653.72	346.05	535.22	393.95	-	-	-0.01	-0.06	1.00	0.05	-0.09	0.99	00:00:00:874	-	-	-	-	-	-	-	-
500488.83	21:24:17:362	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	4.00	3.40	618.37	359.24	652.66	345.53	536.17	393.78	-	-	0.00	-0.06	1.00	0.05	-0.09	0.99	00:00:00:874	-	-	-	-	-	-	-	-
500505.09	21:24:17:378	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	4.00	3.38	618.39	359.09	653.31	346.19	535.51	393.15	-	-	-0.01	-0.06	1.00	0.05	-0.09	0.99	00:00:00:916	-	-	-	-	-	-	-	-
500521.55	21:24:17:395	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	4.02	3.36	617.91	358.21	653.82	346.11	533.98	391.95	-	-	-0.01	-0.06	1.00	0.05	-0.09	0.99	00:00:00:916	-	-	-	-	-	-	-	-
500538.26	21:24:17:411	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	4.00	3.36	618.43	357.82	654.85	345.95	533.92	391.61	-	-	-0.01	-0.06	1.00	0.05	-0.09	0.99	00:00:00:916	-	-	-	-	-	-	-	-
500554.62	21:24:17:428	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	4.00	3.38	619.22	359.58	654.48	347.07	535.90	393.38	-	-	-0.01	-0.06	1.00	0.05	-0.09	0.99	00:00:00:957	-	-	-	-	-	-	-	-
500571.94	21:24:17:445	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	3.98	3.36	619.68	358.67	654.78	346.45	536.47	392.20	-	-	-0.01	-0.06	1.00	0.05	-0.09	0.99	00:00:00:957	-	-	-	-	-	-	-	-
500587.99	21:24:17:461	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	4.00	3.32	620.33	359.28	655.51	345.25	537.03	394.55	-	-	-0.01	-0.05	1.00	0.05	-0.10	0.99	00:00:00:999	-	-	-	-	-	-	-	-
500604.34	21:24:17:477	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	2	4.00	3.34	618.92	357.67	654.53	345.16	535.25	391.76	-	-	-0.01	-0.05	1.00	0.05	-0.09	0.99	00:00:00:999	-	-	-	-	-	-	-	-
500621.26	21:24:17:494	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Saccade	-	3	4.00	3.32	617.12	359.09	653.85	345.76	532.42	394.33	-	-	-0.01	-0.06	1.00	0.05	-0.09	0.99	00:00:01:041	-	-	-	-	-	-	-	-
500637.61	21:24:17:511	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Saccade	-	3	4.00	3.30	599.48	359.87	634.58	345.18	518.07	395.45	-	-	0.01	-0.05	1.00	0.07	-0.10	0.99	00:00:01:041	-	-	-	-	-	-	-	-
500654.77	21:24:17:528	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	3	3.98	3.32	600.40	360.32	633.95	345.60	520.65	395.21	-	-	0.01	-0.06	1.00	0.06	-0.10	0.99	00:00:01:041	-	-	-	-	-	-	-	-
500671.17	21:24:17:544	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	3	4.00	3.32	600.49	358.83	634.40	342.80	520.36	395.24	-	-	0.01	-0.05	1.00	0.06	-0.10	0.99	00:00:01:082	-	-	-	-	-	-	-	-
500687.46	21:24:17:561	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	3	4.00	3.32	599.63	360.00	633.33	344.62	519.79	395.59	-	-	0.01	-0.05	1.00	0.07	-0.10	0.99	00:00:01:082	-	-	-	-	-	-	-	-
500704.21	21:24:17:577	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	3	4.00	3.32	600.73	358.53	635.16	342.27	520.03	395.40	-	-	0.01	-0.05	1.00	0.07	-0.10	0.99	00:00:01:082	-	-	-	-	-	-	-	-
500720.71	21:24:17:594	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	3	3.98	3.32	600.13	360.12	634.07	345.18	519.97	395.39	-	-	0.01	-0.05	1.00	0.07	-0.10	0.99	00:00:01:124	-	-	-	-	-	-	-	-
500737.54	21:24:17:611	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	3	3.98	3.38	601.39	359.49	634.08	344.79	522.48	394.06	-	-	0.01	-0.05	1.00	0.06	-0.09	0.99	00:00:01:124	-	-	-	-	-	-	-	-
500753.87	21:24:17:627	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	3	4.00	3.36	602.28	358.50	635.61	342.84	522.63	394.35	-	-	0.01	-0.05	1.00	0.06	-0.09	0.99	00:00:01:166	-	-	-	-	-	-	-	-
500770.49	21:24:17:644	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	3	3.98	3.36	602.32	358.19	634.69	343.74	523.68	392.49	-	-	0.01	-0.05	1.00	0.06	-0.09	0.99	00:00:01:166	-	-	-	-	-	-	-	-
500787.33	21:24:17:660	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	3	4.00	3.36	600.93	359.08	633.04	344.24	522.73	393.54	-	-	0.01	-0.05	1.00	0.06	-0.09	0.99	00:00:01:207	-	-	-	-	-	-	-	-
500803.54	21:24:17:677	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	3	4.00	3.36	600.61	358.45	632.97	343.93	522.14	392.78	-	-	0.01	-0.05	1.00	0.06	-0.09	0.99	00:00:01:207	-	-	-	-	-	-	-	-
500820.55	21:24:17:694	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	3	3.98	3.34	601.49	360.18	634.09	345.45	522.70	394.66	-	-	0.01	-0.06	1.00	0.06	-0.10	0.99	00:00:01:207	-	-	-	-	-	-	-	-
500836.90	21:24:17:710	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	3	3.98	3.34	601.97	360.33	634.15	345.17	523.61	395.04	-	-	0.01	-0.05	1.00	0.06	-0.10	0.99	00:00:01:249	-	-	-	-	-	-	-	-
500853.42	21:24:17:727	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	3	4.00	3.34	601.94	359.08	634.05	342.72	523.70	395.00	-	-	0.01	-0.05	1.00	0.06	-0.10	0.99	00:00:01:249	-	-	-	-	-	-	-	-
500869.96	21:24:17:743	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	3	4.00	3.36	601.56	360.26	634.11	344.00	522.88	396.17	-	-	0.01	-0.05	1.00	0.06	-0.10	0.99	00:00:01:291	-	-	-	-	-	-	-	-
500886.50	21:24:17:760	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	3	4.00	3.36	602.86	359.75	635.30	343.45	524.16	395.72	-	-	0.01	-0.05	1.00	0.06	-0.10	0.99	00:00:01:291	-	-	-	-	-	-	-	-
500903.30	21:24:17:776	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	3	3.96	3.36	601.10	359.63	633.08	343.06	523.10	395.64	-	-	0.01	-0.05	1.00	0.06	-0.10	0.99	00:00:01:291	-	-	-	-	-	-	-	-
