## [BeGaze]
## Converted from:	F:\SMI-A\Madison test\madison-[d5b25234-9881-432f-aa23-9764dd3f39f6]\madison-1-unified.smi
## Date:	25.11.2015 20:26:48
## Version:	BeGaze 3.6.40
## IDF Version:	10
## Sample Rate:	60
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	5126
## Reversed:	none
## [Run]
## Subject:	madison
## Description:	Run1
## [Calibration]
## Calibration Area:	960	720
## [Geometry]
## Stimulus Dimension [mm]:	960	720
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT
##
Time	Type	Trial	B POR X [px]	B POR Y [px]
460451836	SMP	1	212.77	171.61	
460468505	SMP	1	213.13	173.21	
460484985	SMP	1	222.15	176.01	
460501689	SMP	1	293.31	194.34	
460518326	SMP	1	435.10	196.69	
460534869	SMP	1	566.10	235.49	
460551359	SMP	1	NaN	NaN	
460568076	SMP	1	NaN	NaN	
460584612	SMP	1	652.96	383.98	
460601482	SMP	1	NaN	NaN	
460618049	SMP	1	NaN	NaN	
460634819	SMP	1	1199.33	315.68	
460650991	SMP	1	1181.74	323.83	
460667524	SMP	1	1066.60	293.90	
460684194	SMP	1	1003.63	280.02	
460700696	SMP	1	985.71	284.15	
460717368	SMP	1	969.83	285.74	
460734000	SMP	1	940.79	278.90	
460750660	SMP	1	919.38	273.53	
460767305	SMP	1	908.75	270.69	
460783702	SMP	1	890.86	269.14	
460800377	SMP	1	878.20	270.81	
460816882	SMP	1	869.33	271.22	
460833565	SMP	1	858.14	269.54	
460850149	SMP	1	842.58	266.43	
460866705	SMP	1	837.23	267.50	
460883367	SMP	1	823.19	263.60	
460900013	SMP	1	808.48	264.02	
460916446	SMP	1	800.64	261.73	
460933047	SMP	1	796.44	259.19	
460949768	SMP	1	783.24	256.35	
460966278	SMP	1	775.12	254.93	
460982814	SMP	1	772.48	254.90	
460999401	SMP	1	762.67	252.07	
461016041	SMP	1	695.39	292.18	
461032668	SMP	1	608.49	367.94	
461049204	SMP	1	611.03	392.83	
461066582	SMP	1	610.34	388.35	
461082459	SMP	1	609.76	386.21	
461099205	SMP	1	612.25	382.54	
461115598	SMP	1	614.45	382.59	
461132281	SMP	1	618.91	380.52	
461148730	SMP	1	621.06	376.53	
461165434	SMP	1	625.21	372.77	
461182015	SMP	1	628.10	371.08	
461198552	SMP	1	631.39	368.75	
461215247	SMP	1	635.71	367.87	
461231764	SMP	1	640.32	363.59	
461248452	SMP	1	642.25	362.44	
461264906	SMP	1	648.50	361.36	
461281562	SMP	1	653.42	361.94	
461298201	SMP	1	661.07	360.45	
461314761	SMP	1	667.68	361.60	
461331431	SMP	1	673.95	359.40	
461347970	SMP	1	681.65	358.07	
461364620	SMP	1	675.22	358.56	
461381191	SMP	1	591.22	364.53	
461397719	SMP	1	503.27	365.12	
461414568	SMP	1	438.65	360.21	
461431026	SMP	1	427.16	360.03	
461447501	SMP	1	434.37	358.26	
461464301	SMP	1	442.82	356.36	
461480705	SMP	1	450.80	358.27	
461497333	SMP	1	459.15	358.28	
461513904	SMP	1	467.20	361.41	
461530565	SMP	1	474.23	362.24	
461547070	SMP	1	481.13	363.22	
461563679	SMP	1	488.07	366.71	
461580315	SMP	1	493.20	372.17	
461596969	SMP	1	498.67	374.52	
461613461	SMP	1	503.77	375.50	
461630038	SMP	1	508.65	380.47	
461646765	SMP	1	512.27	386.16	
461663744	SMP	1	516.34	386.82	
461679852	SMP	1	522.32	390.62	
461696432	SMP	1	583.60	388.67	
461713157	SMP	1	694.04	356.48	
461730206	SMP	1	793.18	332.58	
461746259	SMP	1	831.47	325.02	
461762855	SMP	1	827.53	326.86	
461779459	SMP	1	819.80	325.46	
461796084	SMP	1	812.68	324.18	
461812619	SMP	1	807.03	322.80	
461829198	SMP	1	804.42	325.12	
461845839	SMP	1	799.77	322.83	
461862431	SMP	1	796.98	322.39	
461879041	SMP	1	797.12	322.97	
461895572	SMP	1	795.94	324.87	
461912183	SMP	1	793.71	323.51	
461928845	SMP	1	800.35	325.45	
461945373	SMP	1	848.25	313.26	
461961959	SMP	1	851.40	311.50	
461978604	SMP	1	853.31	312.52	
461995355	SMP	1	855.95	311.81	
462011752	SMP	1	854.09	312.05	
462028332	SMP	1	856.21	317.33	
462044922	SMP	1	851.28	315.13	
462061637	SMP	1	850.24	319.45	
462078180	SMP	1	851.26	324.29	
462094924	SMP	1	849.28	325.66	
462111367	SMP	1	848.53	328.83	
462127986	SMP	1	845.01	334.26	
462144592	SMP	1	842.66	336.53	
462161168	SMP	1	841.76	339.38	
462178023	SMP	1	839.28	341.44	
462194284	SMP	1	835.38	343.05	
462210920	SMP	1	835.91	347.55	
462227538	SMP	1	829.29	347.07	
462244236	SMP	1	827.50	348.22	
462260687	SMP	1	819.81	347.62	
462277284	SMP	1	821.08	343.40	
462293906	SMP	1	868.16	303.15	
462310453	SMP	1	875.41	273.40	
462327054	SMP	1	871.86	271.64	
462343648	SMP	1	863.64	268.02	
462360304	SMP	1	855.41	266.44	
462377010	SMP	1	853.05	263.03	
462393434	SMP	1	848.89	262.02	
462410066	SMP	1	844.77	257.71	
462426709	SMP	1	836.33	252.47	
462443412	SMP	1	833.44	250.62	
462459848	SMP	1	828.82	251.04	
462476411	SMP	1	820.91	249.23	
462493310	SMP	1	816.22	250.63	
462509767	SMP	1	807.36	252.72	
462526374	SMP	1	805.33	255.56	
462542826	SMP	1	805.44	256.47	
462559395	SMP	1	804.76	259.77	
462576024	SMP	1	803.60	260.87	
462592614	SMP	1	803.78	261.86	
462609266	SMP	1	801.52	263.18	
462625792	SMP	1	799.00	262.72	
462642452	SMP	1	797.99	265.02	
462658988	SMP	1	791.96	265.44	
462675529	SMP	1	786.77	263.23	
462692188	SMP	1	778.38	264.05	
462708762	SMP	1	774.89	265.14	
462725426	SMP	1	766.99	268.85	
462741912	SMP	1	762.38	267.57	
462758528	SMP	1	757.64	270.69	
462775453	SMP	1	745.98	274.67	
462791774	SMP	1	718.75	255.85	
462808322	SMP	1	697.83	240.20	
462824965	SMP	1	697.73	230.69	
462841674	SMP	1	685.52	222.62	
462858224	SMP	1	684.78	208.12	
462874721	SMP	1	684.71	214.25	
462891338	SMP	1	679.28	218.17	
462907973	SMP	1	673.96	220.42	
462924662	SMP	1	669.86	224.21	
462941078	SMP	1	663.91	225.41	
462957741	SMP	1	661.36	230.95	
462974316	SMP	1	657.70	233.12	
462990914	SMP	1	654.09	235.32	
463007576	SMP	1	649.17	233.65	
463024053	SMP	1	641.56	236.04	
463040681	SMP	1	638.35	235.32	
463057310	SMP	1	631.67	232.78	
463073880	SMP	1	628.52	231.84	
463090417	SMP	1	623.30	234.53	
463107717	SMP	1	619.00	231.37	
463123763	SMP	1	613.72	230.01	
463140368	SMP	1	610.33	231.55	
463157035	SMP	1	607.23	229.38	
463173454	SMP	1	602.42	231.05	
463190163	SMP	1	599.89	229.46	
463206646	SMP	1	597.08	229.02	
463224075	SMP	1	593.23	226.30	
463239946	SMP	1	593.62	222.77	
463256452	SMP	1	590.70	221.35	
463273028	SMP	1	589.90	215.79	
463289739	SMP	1	588.21	213.89	
463306280	SMP	1	584.94	209.40	
463322808	SMP	1	581.69	210.14	
463339367	SMP	1	583.54	208.82	
463356039	SMP	1	597.87	216.35	
463372564	SMP	1	600.66	230.23	
463389201	SMP	1	-121.13	639.71	
463405775	SMP	1	-118.30	612.28	
463422579	SMP	1	NaN	NaN	
463438939	SMP	1	611.80	205.98	
463455707	SMP	1	602.85	171.74	
463472174	SMP	1	607.03	167.37	
463488791	SMP	1	600.96	169.90	
463505355	SMP	1	603.15	166.80	
463521946	SMP	1	602.09	165.60	
463538533	SMP	1	600.09	164.39	
463555654	SMP	1	598.41	162.75	
463571728	SMP	1	595.23	160.85	
463588449	SMP	1	595.98	159.03	
463604953	SMP	1	591.96	158.34	
463621540	SMP	1	589.10	158.12	
463638530	SMP	1	585.10	156.96	
463654727	SMP	1	583.28	155.77	
463671330	SMP	1	580.77	153.87	
463688266	SMP	1	578.23	153.71	
463704574	SMP	1	577.31	152.76	
463721080	SMP	1	575.12	153.01	
463737710	SMP	1	593.92	155.61	
463754281	SMP	1	667.58	153.64	
463770965	SMP	1	693.39	155.33	
463787406	SMP	1	691.85	156.06	
463804107	SMP	1	697.79	158.10	
463820793	SMP	1	693.80	159.05	
463837772	SMP	1	692.65	161.44	
463853926	SMP	1	693.21	162.26	
463870392	SMP	1	691.64	163.05	
463887041	SMP	1	689.66	164.52	
463903764	SMP	1	685.87	166.80	
463920224	SMP	1	684.96	168.85	
463936764	SMP	1	686.38	172.80	
463953686	SMP	1	685.39	171.46	
463970083	SMP	1	678.74	172.48	
463986698	SMP	1	679.45	173.60	
464004040	SMP	1	672.08	173.92	
464019802	SMP	1	688.93	181.64	
464036525	SMP	1	762.28	217.78	
464053088	SMP	1	831.93	253.48	
464069578	SMP	1	830.30	255.99	
464086264	SMP	1	823.73	252.98	
464102818	SMP	1	816.42	251.31	
464119938	SMP	1	803.86	246.18	
464135905	SMP	1	792.98	239.79	
464152578	SMP	1	784.07	235.28	
464169401	SMP	1	775.90	231.66	
464185920	SMP	1	778.05	232.49	
464202323	SMP	1	774.50	230.09	
464218915	SMP	1	774.14	229.86	
464235542	SMP	1	773.31	230.74	
464252206	SMP	1	767.64	233.03	
464268775	SMP	1	766.83	235.59	
464285324	SMP	1	759.68	238.28	
464301956	SMP	1	751.81	243.62	
464318558	SMP	1	796.29	275.35	
464335234	SMP	1	853.50	312.47	
464351694	SMP	1	877.83	354.12	
464368593	SMP	1	854.64	351.15	
464384932	SMP	1	847.03	354.73	
464401599	SMP	1	834.73	354.87	
464418119	SMP	1	823.95	356.59	
464434725	SMP	1	815.46	361.61	
464451393	SMP	1	813.06	369.52	
464467926	SMP	1	806.62	375.81	
464484505	SMP	1	798.84	377.70	
464501321	SMP	1	795.85	379.57	
464518016	SMP	1	789.75	374.17	
464534342	SMP	1	779.28	360.36	
464550826	SMP	1	772.68	352.88	
464567537	SMP	1	761.71	344.63	
464584074	SMP	1	751.39	334.06	
464600938	SMP	1	746.73	332.91	
464617196	SMP	1	746.80	330.44	
464633897	SMP	1	740.86	324.79	
464650463	SMP	1	739.94	323.32	
464667206	SMP	1	737.08	316.02	
464683891	SMP	1	750.14	286.48	
464700220	SMP	1	753.67	263.28	
464716815	SMP	1	755.15	263.12	
464733442	SMP	1	758.89	270.32	
464750118	SMP	1	760.69	286.15	
464766527	SMP	1	760.70	315.61	
464783412	SMP	1	764.05	342.76	
464799771	SMP	1	764.52	356.95	
464816604	SMP	1	765.56	357.79	
464832992	SMP	1	772.30	342.83	
464849557	SMP	1	775.00	310.27	
464866289	SMP	1	774.98	281.49	
464882796	SMP	1	783.60	265.11	
464899454	SMP	1	784.21	248.93	
464915949	SMP	1	791.16	243.98	
464932686	SMP	1	794.29	230.74	
464949161	SMP	1	802.99	224.74	
464965816	SMP	1	804.71	221.47	
464982335	SMP	1	752.45	212.76	
464999185	SMP	1	665.22	202.74	
465015533	SMP	1	589.13	200.02	
465032202	SMP	1	569.64	182.00	
465048672	SMP	1	572.35	176.31	
465065315	SMP	1	576.76	178.30	
465081888	SMP	1	579.79	179.14	
465098566	SMP	1	584.87	179.68	
465115075	SMP	1	586.68	178.51	
465131642	SMP	1	589.52	176.52	
465148294	SMP	1	592.58	177.06	
465164947	SMP	1	596.93	178.45	
465181562	SMP	1	600.73	178.04	
465198037	SMP	1	603.10	181.13	
465214687	SMP	1	604.87	179.63	
465231346	SMP	1	607.36	179.92	
465248048	SMP	1	587.42	191.39	
465264414	SMP	1	501.09	217.99	
465281045	SMP	1	437.13	246.14	
465297704	SMP	1	399.54	276.78	
465314364	SMP	1	412.78	683.04	
465330782	SMP	1	432.72	741.52	
465347512	SMP	1	458.04	750.83	
465364076	SMP	1	413.47	279.91	
465380653	SMP	1	437.36	274.81	
465397189	SMP	1	457.54	275.23	
465413803	SMP	1	465.12	283.55	
465430432	SMP	1	467.76	282.25	
465447086	SMP	1	469.97	280.17	
465463540	SMP	1	471.62	280.75	
465480371	SMP	1	472.07	278.85	
465496903	SMP	1	474.13	279.93	
465513586	SMP	1	474.83	281.26	
465529944	SMP	1	475.83	280.23	
465546712	SMP	1	476.75	281.25	
465563570	SMP	1	478.78	281.52	
465580020	SMP	1	481.02	283.03	
465596577	SMP	1	482.09	283.99	
465612955	SMP	1	482.79	284.27	
465630031	SMP	1	484.24	285.39	
465646192	SMP	1	485.53	284.01	
465662851	SMP	1	486.41	285.57	
465679453	SMP	1	488.49	287.32	
465696008	SMP	1	489.22	286.66	
465712557	SMP	1	492.57	296.56	
465729156	SMP	1	492.36	298.24	
465745697	SMP	1	490.45	308.19	
465762272	SMP	1	482.58	309.99	
465778944	SMP	1	611.50	1197.60	
465795776	SMP	1	613.30	988.71	
465812107	SMP	1	NaN	NaN	
465828702	SMP	1	NaN	NaN	
465845309	SMP	1	48.41	475.29	
465861888	SMP	1	465.81	246.79	
465878401	SMP	1	465.75	223.44	
465895100	SMP	1	472.09	215.89	
465911671	SMP	1	473.41	220.38	
465928275	SMP	1	474.70	222.65	
465944851	SMP	1	475.57	219.12	
465961452	SMP	1	477.02	218.21	
465978219	SMP	1	475.47	216.20	
465994671	SMP	1	476.39	216.39	
466011387	SMP	1	478.27	213.76	
466028061	SMP	1	478.50	214.06	
466044431	SMP	1	477.92	214.16	
466061034	SMP	1	479.67	213.45	
466077710	SMP	1	479.73	211.87	
466094390	SMP	1	481.89	211.56	
466111112	SMP	1	482.57	210.69	
466127378	SMP	1	484.36	211.13	
466144016	SMP	1	485.49	211.51	
466160576	SMP	1	487.45	211.35	
466177285	SMP	1	488.86	209.89	
466193893	SMP	1	490.80	209.71	
466210682	SMP	1	491.02	210.02	
466227060	SMP	1	493.17	208.57	
466243527	SMP	1	493.92	208.22	
466260187	SMP	1	495.89	209.08	
466276944	SMP	1	495.57	208.19	
466293422	SMP	1	496.65	209.01	
466309957	SMP	1	497.64	209.82	
466326547	SMP	1	498.48	209.04	
466343370	SMP	1	499.77	209.07	
466359950	SMP	1	500.01	208.31	
466376325	SMP	1	500.21	208.33	
466392899	SMP	1	499.45	208.32	
466409581	SMP	1	499.42	208.29	
466426262	SMP	1	500.28	208.15	
466442714	SMP	1	499.73	208.44	
466459339	SMP	1	499.03	209.68	
466476022	SMP	1	501.77	210.65	
466493448	SMP	1	501.84	209.74	
466509115	SMP	1	499.81	208.87	
466525665	SMP	1	500.00	209.22	
466542368	SMP	1	517.32	218.66	
466558913	SMP	1	595.08	271.51	
466575552	SMP	1	642.99	311.18	
466592284	SMP	1	644.26	313.33	
466608684	SMP	1	646.28	313.43	
466625339	SMP	1	645.41	311.33	
466641915	SMP	1	644.93	311.40	
466658431	SMP	1	644.27	310.15	
466675866	SMP	1	644.77	310.23	
466691677	SMP	1	644.95	308.88	
466708293	SMP	1	643.35	308.27	
466724791	SMP	1	642.74	308.97	
466741435	SMP	1	643.63	309.28	
466758142	SMP	1	641.94	308.51	
466774666	SMP	1	640.94	308.91	
466791973	SMP	1	642.64	308.22	
466807920	SMP	1	641.59	309.01	
466824492	SMP	1	641.98	308.84	
466841076	SMP	1	641.41	309.15	
466857943	SMP	1	640.61	309.76	
466874223	SMP	1	640.08	313.58	
466890823	SMP	1	639.59	313.99	
466907474	SMP	1	638.60	316.22	
466924269	SMP	1	660.07	309.19	
466940578	SMP	1	719.79	284.26	
466957167	SMP	1	745.47	267.28	
466973866	SMP	1	745.30	269.02	
466990389	SMP	1	745.10	268.08	
467006933	SMP	1	742.74	265.03	
467023558	SMP	1	739.40	265.84	
467040209	SMP	1	738.71	267.57	
467056794	SMP	1	736.44	267.35	
467073442	SMP	1	737.43	268.45	
467089898	SMP	1	737.35	266.37	
467106560	SMP	1	735.91	263.76	
467123330	SMP	1	732.56	262.79	
467139690	SMP	1	731.29	262.00	
467156340	SMP	1	728.79	260.41	
467172931	SMP	1	726.92	259.94	
467189559	SMP	1	727.31	258.44	
467206134	SMP	1	725.65	256.69	
467222737	SMP	1	723.64	257.58	
467239540	SMP	1	735.56	274.70	
467255895	SMP	1	808.58	341.98	
467272456	SMP	1	864.88	377.14	
467289104	SMP	1	864.78	378.14	
467306560	SMP	1	863.32	376.23	
467322289	SMP	1	856.94	375.26	
467339047	SMP	1	852.90	373.92	
467355510	SMP	1	851.99	373.37	
467372037	SMP	1	847.19	371.98	
467388658	SMP	1	842.51	369.80	
467405348	SMP	1	838.37	369.40	
467421862	SMP	1	834.71	370.33	
467438523	SMP	1	828.88	367.45	
467455085	SMP	1	822.02	368.09	
467471657	SMP	1	817.79	366.18	
467488321	SMP	1	810.72	365.11	
467504940	SMP	1	806.06	363.87	
467521462	SMP	1	800.06	361.45	
467538668	SMP	1	801.19	363.54	
467554635	SMP	1	877.65	387.62	
467571502	SMP	1	950.20	400.87	
467588019	SMP	1	956.27	395.24	
467604400	SMP	1	946.94	391.65	
467621171	SMP	1	941.82	386.08	
467637594	SMP	1	932.54	381.85	
467654237	SMP	1	924.73	377.68	
467670760	SMP	1	915.68	376.54	
467687561	SMP	1	910.22	372.74	
467704001	SMP	1	902.34	370.89	
467720724	SMP	1	897.01	370.79	
467737214	SMP	1	891.23	368.99	
467753884	SMP	1	883.25	364.80	
467770922	SMP	1	877.56	366.92	
467786913	SMP	1	868.18	365.53	
467803551	SMP	1	853.69	359.34	
467820183	SMP	1	844.83	358.52	
467836809	SMP	1	836.55	358.59	
467853363	SMP	1	836.72	404.31	
467870109	SMP	1	819.25	476.24	
467886582	SMP	1	804.27	500.03	
467903313	SMP	1	795.99	495.17	
467919689	SMP	1	786.43	486.62	
467936325	SMP	1	782.22	484.35	
467953567	SMP	1	776.02	481.37	
467969544	SMP	1	774.73	478.54	
467986054	SMP	1	772.27	474.88	
468002693	SMP	1	769.98	472.22	
468019453	SMP	1	771.00	470.44	
468035967	SMP	1	770.28	470.40	
468052511	SMP	1	770.39	467.53	
468069081	SMP	1	769.01	466.95	
468085705	SMP	1	769.55	465.60	
468102227	SMP	1	766.55	462.29	
468118911	SMP	1	725.56	461.77	
468135421	SMP	1	657.37	467.47	
468152064	SMP	1	647.11	466.71	
468168824	SMP	1	645.39	463.53	
468185271	SMP	1	643.98	461.82	
468201959	SMP	1	643.17	457.67	
468218443	SMP	1	641.52	454.73	
468235091	SMP	1	641.17	453.74	
468251659	SMP	1	639.08	447.43	
468268197	SMP	1	636.22	443.66	
468284783	SMP	1	636.55	441.61	
468301409	SMP	1	635.81	440.31	
468318160	SMP	1	634.52	437.36	
468334590	SMP	1	632.32	430.38	
468351288	SMP	1	632.08	429.11	
468367931	SMP	1	633.52	428.05	
468384398	SMP	1	633.58	427.17	
468401099	SMP	1	633.55	427.32	
468417635	SMP	1	625.82	426.96	
468434200	SMP	1	567.32	436.77	
468450728	SMP	1	530.96	442.48	
468467432	SMP	1	531.61	441.43	
468483929	SMP	1	532.11	444.21	
468500592	SMP	1	533.76	444.10	
468517169	SMP	1	537.05	445.20	
468533796	SMP	1	539.84	443.66	
468550348	SMP	1	543.78	446.23	
468566941	SMP	1	547.56	446.96	
468583518	SMP	1	552.72	446.98	
468600207	SMP	1	556.68	447.67	
468616726	SMP	1	562.39	448.56	
468633322	SMP	1	567.24	450.53	
468649904	SMP	1	548.01	446.55	
468666520	SMP	1	483.53	435.64	
468683098	SMP	1	455.10	432.21	
468699721	SMP	1	457.32	431.95	
468716290	SMP	1	460.97	433.93	
468732944	SMP	1	464.51	433.46	
468749552	SMP	1	468.25	439.17	
468766073	SMP	1	471.48	439.89	
468782743	SMP	1	473.75	443.29	
468799382	SMP	1	477.57	445.49	
468816029	SMP	1	479.40	446.00	
468832487	SMP	1	481.14	448.30	
468849229	SMP	1	483.09	448.67	
468865800	SMP	1	484.01	447.63	
468882302	SMP	1	485.08	449.79	
468898825	SMP	1	486.84	450.09	
468915401	SMP	1	486.79	451.04	
468932218	SMP	1	486.48	449.70	
468948716	SMP	1	486.25	450.11	
468965306	SMP	1	486.94	451.05	
468981802	SMP	1	486.14	450.49	
468998428	SMP	1	486.35	453.45	
469015197	SMP	1	485.59	452.15	
469031662	SMP	1	485.00	453.29	
469048228	SMP	1	483.88	449.42	
469064803	SMP	1	483.82	448.62	
469081589	SMP	1	483.12	445.75	
469098108	SMP	1	480.26	444.07	
469114603	SMP	1	480.79	440.65	
469131336	SMP	1	475.99	438.11	
469148057	SMP	1	418.06	428.89	
469164503	SMP	1	362.09	426.27	
469181044	SMP	1	356.14	424.43	
469198161	SMP	1	355.61	423.49	
469214395	SMP	1	356.18	421.92	
469230780	SMP	1	359.23	419.12	
469247345	SMP	1	360.91	415.84	
469263872	SMP	1	360.55	413.91	
469280565	SMP	1	361.41	412.29	
469297150	SMP	1	364.51	411.18	
469313695	SMP	1	366.02	409.69	
469330279	SMP	1	365.61	407.75	
469346950	SMP	1	377.08	416.90	
469363627	SMP	1	448.54	475.25	
469380144	SMP	1	510.73	534.95	
469396705	SMP	1	521.52	547.24	
469413334	SMP	1	521.81	546.54	
469429914	SMP	1	523.98	544.03	
